ticker,axis,label,real_calmar,real_da,trades,synth_cal,train_auc,val_auc,status
GLD,vol,carry,1.6164622641509434,24.0211,1,0.0,0.5,0.5,completed
GLD,vol,kmeans2stage,1.6164622641509434,24.0211,1,0.0,0.5,0.5,completed
GLD,vol,always_long,1.6164622641509434,24.0211,1,0.0,0.5,0.5,completed
GLD,vol,hmm,1.6164622641509434,24.0211,1,0.0,0.5,0.5,completed
GLD,dollar,carry,1.6199528301886794,23.9932,1,0.0,0.5,0.5,completed
GLD,dollar,kmeans2stage,1.6199528301886794,23.9932,1,0.0,0.5,0.5,completed
GLD,dollar,always_long,1.6199528301886794,23.9932,1,0.0,0.5,0.5,completed
GLD,dollar,hmm,1.6199528301886794,23.9932,1,0.0,0.5,0.5,completed
QQQ,vol,carry,1.1099173553719008,22.8298,1,0.0,0.5,0.5,completed
QQQ,vol,kmeans2stage,1.1099173553719008,22.8298,1,0.0,0.5,0.5,completed
QQQ,vol,always_long,1.1099173553719008,22.8298,1,0.0,0.5,0.5,completed
QQQ,vol,hmm,1.1099173553719008,22.8298,1,0.0,0.5,0.5,completed
QQQ,dollar,carry,1.1094214876033057,22.8728,1,0.0,0.5,0.5,completed
QQQ,dollar,kmeans2stage,1.1094214876033057,22.8728,1,0.0,0.5,0.5,completed
QQQ,dollar,always_long,1.1094214876033057,22.8728,1,0.0,0.5,0.5,completed
QQQ,dollar,hmm,1.1094214876033057,22.8728,1,0.0,0.5,0.5,completed
