ticker,axis,label,real_calmar,real_da,trades,synth_cal,train_auc,val_auc,status
QQQ,vol,carry,0.8978494623655913,14.9004,629,-0.2292,0.8002,0.7676,completed
QQQ,vol,always_long,0.8978494623655913,14.9004,629,-0.2292,0.8002,0.7676,completed
IWM,vol,carry,0.6541573033707865,22.6227,544,-0.2755,0.7411,0.7072,completed
IWM,vol,always_long,0.6541573033707865,22.6227,544,-0.2755,0.7411,0.7072,completed
EEM,vol,carry,0.5702127659574469,1.5658,23,4.1715,0.9036,0.8652,completed
EEM,vol,always_long,0.5702127659574469,1.5658,23,4.1715,0.9036,0.8652,completed
XLE,vol,carry,0.11170138888888889,70.2793,398,2.4907,0.9995,0.9989,completed
XLE,vol,always_long,0.11170138888888889,70.2793,398,2.4907,0.9995,0.9989,completed
HYG,vol,carry,1.0484615384615383,1.4119,186,0.0,0.0,0.0,completed
HYG,vol,always_long,1.0484615384615383,1.4119,186,0.0,0.0,0.0,completed
TLT,vol,carry,-0.2783333333333334,63.3821,680,-0.7514,0.8581,0.8487,completed
TLT,vol,always_long,-0.2783333333333334,63.3821,680,-0.7514,0.8581,0.8487,completed
