ticker,asset_class,recipe,method_calmar,buyhold_calmar,edge,val_auc,trades,verdict,name
BIL,Fixed Income,trend,30.43,0.0,30.43,0.918,2774,ARTIFACT(cash),State Street SPDR Bloomberg 1-3 Month T-
VGK,International Equity,regime,1.92,0.0,1.92,0.557,6,NO-BASELINE,Vanguard FTSE Europe ETF
SCZ,International Equity,ker,1.614,0.0,1.614,0.436,149,NO-BASELINE,iShares MSCI EAFE Small-Cap ETF
VWO,International Equity,trend,1.528,0.0,1.528,0.801,594,NO-BASELINE,Vanguard Emerging Markets Stock Index Fu
QLD,Leveraged/Inverse,regime,1.502,0.0,1.502,0.62,245,NO-BASELINE,ProShares Ultra QQQ
SSO,Leveraged/Inverse,regime,2.511,1.029,1.482,0.631,146,STRONG,ProShares Ultra S&P500
IAU,Commodity,trend,3.351,1.943,1.408,0.62,1073,STRONG,iShares Gold Trust
DBA,Commodity,ker,2.382,1.025,1.358,0.499,168,NO-FIT,Invesco DB Agriculture Fund
XOP,Commodity,regime,1.626,0.299,1.327,0.526,341,NO-FIT,State Street SPDR S&P Oil & Gas Explorat
USO,Commodity,trend,2.175,0.937,1.238,0.979,601,STRONG,"United States Oil Fund, LP"
AGQ,Leveraged/Inverse,changept,2.489,1.309,1.179,0.568,375,STRONG,ProShares Ultra Silver
SHV,Fixed Income,changept,1.05,0.0,1.05,0.599,1913,ARTIFACT(cash),iShares 0–1 Year Treasury Bond ETF
GDX,Commodity,trend,2.478,1.529,0.95,0.962,321,STRONG,VanEck Gold Miners ETF
DJP,Commodity,ker,2.011,1.082,0.928,0.633,196,STRONG,iPath Bloomberg Commodity Index Total Re
GSG,Commodity,sadf,1.921,1.005,0.916,0.655,216,STRONG,iShares S&P GSCI Commodity-Indexed Trust
CMF,Fixed Income,changept,1.13,0.266,0.864,0.549,164,NO-FIT,iShares California Muni Bond ETF
TNA,Leveraged/Inverse,ker,0.822,0.0,0.822,0.499,85,NO-BASELINE,Direxion Daily Small Cap Bull 3X Shares
UCO,Leveraged/Inverse,trend,1.102,0.387,0.714,0.661,126,STRONG,ProShares Ultra Bloomberg Crude Oil
SPAB,Fixed Income,sadf,1.13,0.416,0.714,0.719,54,NO-FIT,State Street SPDR Portfolio Aggregate Bo
ACWI,International Equity,sadf,0.649,0.0,0.649,0.498,68,NO-BASELINE,iShares MSCI ACWI ETF
VT,International Equity,ker,2.017,1.482,0.535,0.547,730,NO-FIT,Vanguard Total World Stock Index Fund ET
MLN,Fixed Income,sadf,0.545,0.024,0.521,0.674,42,ARTIFACT(cash),VanEck Long Muni ETF
SPXS,Leveraged/Inverse,trend,0.0,-0.477,0.477,0.0,0,NO-FIT,Direxion Daily S&P 500 Bear 3X Shares
QID,Leveraged/Inverse,trend,0.0,-0.456,0.456,0.0,0,NO-FIT,ProShares UltraShort QQQ
