ticker	n	beta50	beta100	beta200	drift	vol	ar1	vr20	halflife_d	route
GLD	3416	0.53	0.589	0.53	0.037	0.157	-0.0092	0.912	74.0	TREND/HMM (symmetric)
IAU	3416	0.533	0.59	0.536	0.039	0.157	-0.0085	0.914	74.0	TREND/HMM (symmetric)
SLV	3416	0.483	0.449	0.394	0.02	0.291	0.0176	1.042	81.0	REVERSION
GDX	3416	0.482	0.506	0.407	-0.023	0.382	-0.046	0.828	64.0	REVERSION
AGQ	3416	0.446	0.389	0.317	-0.1	0.594	0.0193	1.038	74.0	REVERSION
UUP	3416	0.575	0.558	0.559	0.018	0.075	-0.0193	0.874	85.0	TREND/HMM (symmetric)
FXE	3416	0.437	0.422	0.416	-0.025	0.086	0.0074	0.948	94.0	REVERSION
IWM	3416	0.665	0.661	0.666	0.097	0.225	-0.0632	0.902	63.0	BUY-HOLD (drift)
SPY	3416	0.754	0.783	0.838	0.122	0.175	-0.1072	0.784	42.0	BUY-HOLD (drift)
QQQ	3416	0.744	0.788	0.872	0.165	0.208	-0.0925	0.769	53.0	BUY-HOLD (drift)
SSO	3416	0.729	0.746	0.781	0.191	0.354	-0.1111	0.819	46.0	BUY-HOLD (drift)
QLD	3416	0.715	0.754	0.817	0.266	0.416	-0.0928	0.801	56.0	BUY-HOLD (drift)
SPXL	3416	0.714	0.718	0.716	0.233	0.532	-0.1011	0.881	52.0	BUY-HOLD (drift)
TLT	3416	0.569	0.569	0.554	0.034	0.152	-0.0413	0.763	88.0	TREND/HMM (symmetric)
IEF	3416	0.602	0.622	0.605	0.025	0.066	-0.0364	0.904	96.0	BUY-HOLD (drift)
HYG	3416	0.708	0.725	0.777	0.045	0.088	0.0096	0.911	56.0	BUY-HOLD (drift)
TIP	3416	0.658	0.67	0.698	0.027	0.059	0.0483	0.824	77.0	BUY-HOLD (drift)
DBC	3416	0.504	0.481	0.458	0.001	0.176	0.0092	1.067	136.0	TREND/HMM (symmetric)
GSG	3416	0.521	0.489	0.457	-0.031	0.217	0.0101	1.103	130.0	TREND/HMM (symmetric)
DJP	3416	0.472	0.423	0.408	-0.02	0.166	0.023	1.034	125.0	REVERSION
USO	3416	0.52	0.493	0.445	-0.109	0.368	0.0277	1.224	142.0	REVERSION
UCO	3416	0.491	0.449	0.394	-0.346	0.739	0.007	1.253	156.0	REVERSION
XOP	3416	0.534	0.56	0.543	0.0	0.404	-0.0417	1.022	79.0	TREND/HMM (symmetric)
XLE	3416	0.571	0.598	0.599	0.062	0.284	-0.0331	1.076	78.0	BUY-HOLD (drift)
XME	3416	0.52	0.501	0.503	0.014	0.338	-0.018	1.012	98.0	TREND/HMM (symmetric)
EEM	3416	0.525	0.545	0.54	0.019	0.221	-0.0951	0.782	58.0	TREND/HMM (symmetric)
EFA	3416	0.631	0.64	0.62	0.05	0.191	-0.0961	0.81	58.0	BUY-HOLD (drift)
XBI	3416	0.624	0.668	0.724	0.116	0.321	-0.027	0.893	65.0	BUY-HOLD (drift)
IXG	3416	0.634	0.654	0.641	0.061	0.22	-0.0885	0.883	67.0	BUY-HOLD (drift)
IXP	3416	0.617	0.645	0.674	0.057	0.175	-0.1174	0.759	68.0	BUY-HOLD (drift)
VXX	1387	0.204	0.222	0.202	-0.541	0.723	-0.0665	0.959	78.0	REVERSION
EWZ	3416	0.504	0.551	0.477	-0.022	0.347	-0.1028	0.957	63.0	TREND/HMM (symmetric)
FXI	3416	0.517	0.526	0.538	-0.002	0.266	-0.063	0.786	49.0	TREND/HMM (symmetric)
KRE	3416	0.587	0.592	0.645	0.077	0.296	-0.0888	0.91	74.0	BUY-HOLD (drift)
SMH	3416	0.718	0.75	0.789	0.19	0.276	-0.1052	0.771	57.0	BUY-HOLD (drift)
